ID,Name,Age,Department,Salary
1,Emp1,25.0,HR,50000.0
2,Emp2,28.0,IT,55000.0
3,Emp3,,Finance,52000.0
4,Emp4,22.0,,0.0
5,Emp5,26.0,Marketing,58000.0
6,Emp6,,IT,
7,Emp7,30.0,Finance,61000.0
8,Emp8,24.0,HR,60000.0
9,Emp9,29.0,Marketing,59000.0
10,Emp10,,Finance,-1.0
11,Emp11,27.0,,62000.0
12,Emp12,31.0,IT,64000.0
13,Emp13,,Finance,
14,Emp14,23.0,HR,63000.0
15,Emp15,28.0,,60000.0
16,Emp16,29.0,IT,59000.0
17,Emp17,,Finance,0.0
18,Emp18,26.0,HR,61000.0
19,Emp19,25.0,Marketing,58000.0
20,Emp20,27.0,IT,57000.0
21,Emp21,24.0,HR,56000.0
22,Emp22,,Finance,
23,Emp23,30.0,,55000.0
24,Emp24,31.0,Marketing,-1.0
25,Emp25,28.0,HR,54000.0
26,Emp26,29.0,IT,53000.0
27,Emp27,,Finance,52000.0
28,Emp28,23.0,Marketing,51000.0
29,Emp29,22.0,IT,50000.0
30,Emp30,30.0,,49000.0
